id,api,source,category,method,path,auth,body,expected,expectedResult,auditStatus,auditReason,executionStatus,actualResult
FR03-AI-11,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""' OR 1=1 --""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-12,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""<script>alert(1)</script>@x.com""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 404; 1 failed assertion
FR03-AI-13,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""HW06.RESET@EXAMPLE.TEST""}",404,HTTP 404 and valid JSON contract,INVALID,AI expectation corrected by human review,PASS,HTTP 404; 0 failed assertions
FR03-AI-14,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""000000"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-15,FR03,AI,domain/security/schema,POST,/api/forgot-password,none,"{""email"":""{{resetEmail}}""}",200,HTTP 200 and valid JSON contract,INCOMPLETE,AI oracle completed by human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-16,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""NewPass1!""}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 200; 0 failed assertions
FR03-AI-17,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}.other"",""resetToken"":""{{resetToken}}"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-18,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""000000"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-19,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""resetToken"":""{{resetToken}}"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-20,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-21,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}""}",400,HTTP 400 and valid JSON contract,INCOMPLETE,AI oracle completed by human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-22,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""bad-email"",""resetToken"":""{{resetToken}}"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-23,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":null,""resetToken"":""{{resetToken}}"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-24,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":"""",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-25,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""12345"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-26,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""1234567"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-27,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":123456,""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-28,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""Aa1!aaa""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-29,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""aa1!aaaa""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-30,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""AA1!AAAA""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-31,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""Aaa!aaaa""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-32,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""Aaa1aaaa""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-33,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":null}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,FAIL,HTTP 200; 1 failed assertion
FR03-AI-34,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""000000"",""newPassword"":""NewPass1!""}",400,HTTP 400 and valid JSON contract,INCOMPLETE,AI oracle completed by human review,PASS,HTTP 400; 0 failed assertions
FR03-AI-35,FR03,AI,domain/security/schema,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""000000"",""newPassword"":""OtherPass1!""}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review,PASS,HTTP 400; 0 failed assertions
H-FR03-36,FR03,HUMAN,human/security,POST,/api/forgot-password,none,"{""email"":""unknown.enumeration@example.test""}",200,HTTP 200 and valid JSON contract,HUMAN,Human extension after AI review,FAIL,HTTP 404; 2 failed assertions
H-FR03-37,FR03,HUMAN,human/rate-limit,POST,/api/forgot-password,none,"{""email"":""{{resetEmail}}""}",429,Repeated requests are rate-limited,HUMAN,Human extension after AI review,FAIL,HTTP 200; 1 failed assertion
H-FR03-38,FR03,HUMAN,human/concurrency,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""RacePass1!""}",200,HTTP 200 and valid JSON contract,HUMAN,Human extension after AI review,PASS,HTTP 200; 0 failed assertions
H-FR03-39,FR03,HUMAN,human/state,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""{{resetToken}}"",""newPassword"":""StatePass1!""}",200,HTTP 200 and valid JSON contract,HUMAN,Human extension after AI review,PASS,HTTP 200; 0 failed assertions
H-FR03-40,FR03,HUMAN,human/brute-force,POST,/api/reset-password,none,"{""email"":""{{resetEmail}}"",""resetToken"":""000000"",""newPassword"":""NewPass1!""}",429,HTTP 429 and valid JSON contract,HUMAN,Human extension after AI review,FAIL,HTTP 400; 1 failed assertion
